   10.0000000     km   10.0000000     km
   9.77986336     km   11.6807718     km
   9.62618828     km   13.5405331     km
   9.51828003     km   15.5711994     km
   9.44074440     km   17.7624245     km
   9.38305187     km   20.1010761     km
   9.33835888     km   22.5701294     km
   9.30232620     km   25.1476784     km
   9.27221680     km   27.8064728     km
   9.24628925     km   30.5141735     km
   9.22341442     km   33.2343369     km
   9.20283699     km   35.9280510     km
   9.18403339     km   38.5560226     km
   9.16662979     km   41.0808487     km
   9.15034771     km   43.4692039     km
   9.13497353     km   45.6936073     km
   9.12033844     km   47.7336273     km
   9.10630798     km   49.5763702     km
   9.09277058     km   51.2163162     km
   9.07963562     km   52.6545715     km
   9.06682682     km   53.8977737     km
   9.05428028     km   54.9567757     km
   9.04194260     km   55.8453369     km
   9.02976799     km   56.5789146     km
   9.01771927     km   57.1736450     km
   9.00576496     km   57.6455536     km
   8.99387741     km   58.0099792     km
   8.98203468     km   58.2811890     km
   8.97021675     km   58.4721680     km
   8.95840740     km   58.5945320     km
   8.94659328     km   58.6585121     km
   8.93476295     km   58.6730309     km
   8.92290592     km   58.6457787     km
   8.91101360     km   58.5833511     km
   8.89907932     km   58.4913483     km
   8.88709641     km   58.3745193     km
   8.87506008     km   58.2368584     km
   8.86296558     km   58.0817261     km
   8.85080814     km   57.9119263     km
   8.83858395     km   57.7297974     km
   8.82629108     km   57.5372925     km
   8.81392574     km   57.3360329     km
   8.80148506     km   57.1273651     km
   8.78896713     km   56.9123993     km
   8.77637005     km   56.6920586     km
   8.76369095     km   56.4671059     km
   8.75092793     km   56.2381630     km
   8.73808002     km   56.0057526     km
   8.72514439     km   55.7702980     km
   8.71212006     km   55.5321503     km
   8.69900417     km   55.2915955     km
   8.68579578     km   55.0488625     km
   8.67249393     km   54.8041458     km
   8.65909576     km   54.5576019     km
   8.64560032     km   54.3093567     km
   8.63200569     km   54.0595131     km
   8.61830997     km   53.8081474     km
   8.60451126     km   53.5553284     km
   8.59060764     km   53.3011055     km
   8.57659817     km   53.0455093     km
   8.56248093     km   52.7885780     km
   8.54825306     km   52.5303307     km
   8.53391361     km   52.2707787     km
   8.51946068     km   52.0099335     km
   8.50489235     km   51.7477989     km
   8.49020576     km   51.4843788     km
   8.47539902     km   51.2196655     km
   8.46047115     km   50.9536552     km
   8.44541931     km   50.6863441     km
   8.43024063     km   50.4177208     km
   8.41493320     km   50.1477699     km
   8.39949512     km   49.8764801     km
   8.38392353     km   49.6038361     km
   8.36821651     km   49.3298264     km
   8.35237026     km   49.0544319     km
   8.33638382     km   48.7776337     km
   8.32025337     km   48.4994125     km
   8.30397606     km   48.2197495     km
   8.28754997     km   47.9386292     km
   8.27097130     km   47.6560287     km
   8.25423717     km   47.3719215     km
   8.23734570     km   47.0862885     km
   8.22029209     km   46.7991066     km
   8.20307350     km   46.5103569     km
   8.18568707     km   46.2200089     km
   8.16812897     km   45.9280396     km
   8.15039539     km   45.6344223     km
   8.13248253     km   45.3391342     km
   8.11438656     km   45.0421448     km
   8.09610367     km   44.7434235     km
   8.07763004     km   44.4429436     km
   8.05896091     km   44.1406784     km
   8.04009151     km   43.8365936     km
   8.02101803     km   43.5306587     km
   8.00173569     km   43.2228394     km
   7.98223972     km   42.9131050     km
   7.96252489     km   42.6014214     km
   7.94258595     km   42.2877541     km
   7.92241764     km   41.9720650     km
   7.90201426     km   41.6543159     km
   7.88137007     km   41.3344688     km
   7.86047935     km   41.0124855     km
   7.83933544     km   40.6883278     km
   7.81793213     km   40.3619499     km
   7.79626274     km   40.0333099     km
   7.77432013     km   39.7023621     km
   7.75209713     km   39.3690643     km
   7.72958660     km   39.0333633     km
   7.70678043     km   38.6952171     km
   7.68367052     km   38.3545723     km
   7.66024828     km   38.0113754     km
   7.63650513     km   37.6655731     km
   7.61243153     km   37.3171120     km
   7.58801842     km   36.9659309     km
   7.56325579     km   36.6119728     km
   7.53813314     km   36.2551804     km
   7.51263952     km   35.8954849     km
   7.48676348     km   35.5328255     km
   7.46049356     km   35.1671295     km
   7.43381739     km   34.7983284     km
   7.40672207     km   34.4263496     km
   7.37919378     km   34.0511208     km
   7.35121870     km   33.6725616     km
   7.32278204     km   33.2905922     km
   7.29386854     km   32.9051285     km
   7.26446199     km   32.5160866     km
   7.23454523     km   32.1233749     km
   7.20410061     km   31.7269039     km
   7.17310953     km   31.3265781     km
   7.14155245     km   30.9222984     km
   7.10940886     km   30.5139599     km
   7.07665730     km   30.1014595     km
   7.04327536     km   29.6846905     km
   7.00923920     km   29.2635365     km
   6.97452402     km   28.8378811     km
   6.93910360     km   28.4076061     km
   6.90295124     km   27.9725857     km
   6.86603832     km   27.5326958     km
   6.82833481     km   27.0878067     km
   6.78980923     km   26.6377831     km
   6.75042963     km   26.1824913     km
   6.71016169     km   25.7217941     km
   6.66897011     km   25.2555523     km
   6.62681866     km   24.7836266     km
   6.58366966     km   24.3058796     km
   6.53948402     km   23.8221779     km
   6.49422264     km   23.3323860     km
   6.44784546     km   22.8363800     km
   6.40031290     km   22.3340435     km
   6.35158539     km   21.8252754     km
   6.30162573     km   21.3099937     km
   6.25039864     km   20.7881393     km
   6.19787359     km   20.2596874     km
   6.14402533     km   19.7246532     km
   6.08883715     km   19.1831093     km
   6.03230381     km   18.6351929     km
   5.97443533     km   18.0811329     km
   5.91526270     km   17.5212650     km
   5.85484314     km   16.9560642     km
   5.79326773     km   16.3861790     km
   5.73067141     km   15.8124638     km
   5.66724300     km   15.2360325     km
   5.60323715     km   14.6583042     km
   5.53898811     km   14.0810633     km
